month_start,month,year,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won
2020-05-01,5,2020,145602.99,1,17431.89,1.2215,379,3110450,2292809,335,563,37
2020-06-01,6,2020,257331.28,0.9908,56083.47,1.4582,303,2656081,2001812,288,469,31
2020-07-01,7,2020,192114.5,1,15522.1,1.7157,307,2311715,1717000,288,452,21
2020-08-01,8,2020,142735.95,0.9929,14428.29,1.105,237,1898377,1430663,218,327,19
2020-09-01,9,2020,120229.74,1,6359.64,1.2439,279,2093288,1590137,267,467,27
2020-10-01,10,2020,164848.32,0.9847,4599.3,1.062,413,2334030,1760044,389,609,24
2020-11-01,11,2020,161175.02,0.9685,12626.62,1.0931,434,3078051,2287677,434,728,33
2020-12-01,12,2020,134895.8,0.9924,7261.87,1.2907,434,3273648,2362517,428,709,34
2021-01-01,1,2021,232212.04,0.9907,15875.22,1.1187,494,3252896,2383971,448,929,39
2021-02-01,2,2021,259070.92,0.9454,12657.13,1.12,441,2621565,1938229,415,884,50
2021-03-01,3,2021,298441.27,0.9819,24003.34,1.2725,491,3040038,2230716,466,986,60
2021-04-01,4,2021,192807.67,0.9955,11633.19,1.2094,476,3080461,2228897,458,907,45
2021-05-01,5,2021,196591.89,0.9955,5957.79,1.112,414,2730549,2006508,387,780,35
2021-06-01,6,2021,336510.51,0.9919,13042.26,1.0962,320,2393468,1786890,309,585,35
2021-07-01,7,2021,259885.62,0.9822,8852.45,1.2169,280,2513583,1843785,275,599,30
2021-08-01,8,2021,191358.86,0.9918,11591.69,1.1452,244,2351129,1755419,242,515,28
2021-09-01,9,2021,224195.64,0.9902,16935.11,1.2156,370,2677151,1995676,365,831,36
2021-10-01,10,2021,255544.8,0.9723,14167.17,1.1515,383,2753316,2039008,377,827,32
2021-11-01,11,2021,321318.39,0.989,20265.97,1.2642,389,3039561,2233005,369,766,42
2021-12-01,12,2021,293647.16,1,32722.91,1.1973,363,2974849,2124546,351,670,37
2022-01-01,1,2022,504630.53,0.9985,68812.47,1.1692,412,3232297,2335383,402,790,39
2022-02-01,2,2022,318866.32,0.9338,21190.57,1.1711,433,2871550,2103192,403,907,52
2022-03-01,3,2022,505464.56,0.9835,68149.11,1.216,392,3020858,2215958,394,911,64
