month_start,month,year,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won
2019-02-01,2,2019,1937553.14,0.9899,110223.54,1.1466,1750,7125171,5174804,1596,2705,179
2019-03-01,3,2019,2310992.94,0.972,235313.49,1.1476,1789,7428285,5348056,1612,2758,217
2019-04-01,4,2019,2466925.87,0.9755,181982.75,1.149,1777,7120072,5113313,1517,2581,151
2019-05-01,5,2019,2362830.14,0.982,170953.25,1.111,1705,7519347,5331325,1536,2631,162
2019-06-01,6,2019,2327451.42,0.9905,218848.9,1.1434,1542,7545517,5385073,1381,2459,210
2019-07-01,7,2019,2420216.84,0.9713,200420.21,1.0948,1644,8936166,6426542,1501,2548,151
2019-08-01,8,2019,2662071.23,0.984,186698.99,1.1097,1550,8913003,6378641,1396,2399,148
2019-09-01,9,2019,2737238.51,0.9908,222369.65,1.1427,1732,8567651,6117964,1580,2639,180
2019-10-01,10,2019,2071380.86,0.9616,146738.35,1.1272,1867,9208772,6566123,1713,2939,178
2019-11-01,11,2019,2466786.31,0.981,196690.55,1.1255,1906,9477712,6779212,1727,2797,210
2019-12-01,12,2019,2457695.03,0.9783,183818.84,1.1118,1487,9059367,6526469,1368,2247,138
2020-01-01,1,2020,3297200.05,0.9845,306692.13,1.148,2336,10658395,7602760,2167,3366,169
2020-02-01,2,2020,2580083.48,0.9852,290370.1,1.1412,2215,10087467,7227405,2018,3160,145
2020-03-01,3,2020,3122382.33,0.9881,245420.8,1.1222,1859,9434731,6754791,1680,2817,111
2020-04-01,4,2020,2808922.76,0.9199,175417.63,0.9594,2661,11306479,7874095,2312,3307,186
2020-05-01,5,2020,2556796.99,0.9302,142826.27,1.0126,3146,13117257,8965821,2851,4031,195
2020-06-01,6,2020,3448613.64,0.9665,192462.09,1.1987,3149,13570772,9299081,3109,4461,256
2020-07-01,7,2020,3191189.79,0.9629,217996.84,1.1798,2986,12318087,8276225,2920,4295,131
2020-08-01,8,2020,3357672.75,0.9777,333937.07,1.2251,2786,10836314,7188869,2745,3855,116
2020-09-01,9,2020,3756237.59,0.9796,399537.05,1.2334,2954,10699998,7125094,2849,4106,169
2020-10-01,10,2020,2756469.71,0.9827,427153.13,1.26,3189,11754062,7767458,3127,4491,155
2020-11-01,11,2020,3135351.03,0.9506,364456.79,1.1457,3240,13085292,8782015,3218,4663,189
2020-12-01,12,2020,3144584.62,0.9745,295273.36,1.2077,2546,12040999,8056189,2528,3809,124
2021-01-01,1,2021,4299685.37,0.9796,597731.19,1.2307,3441,13311379,8851886,3374,5587,145
2021-02-01,2,2021,3481248.21,0.9627,465110.99,1.2165,3088,12625220,8349578,2999,5430,185
2021-03-01,3,2021,4208361.19,0.9891,639283.3,1.304,3400,13707124,8975955,3300,5487,200
2021-04-01,4,2021,3772136.44,0.9892,454384.34,1.2012,3091,12917230,8469720,3028,4784,149
2021-05-01,5,2021,3628554.79,0.989,530627.17,1.2346,2966,13086766,8589881,2906,4565,155
2021-06-01,6,2021,4821709.39,0.9837,594161.51,1.2809,2691,12197478,8109625,2613,4263,171
2021-07-01,7,2021,4900973.27,0.9832,595339.64,1.2957,2432,12703091,8479911,2405,3887,125
2021-08-01,8,2021,4173811.35,0.9812,413146.26,1.1936,2443,13066002,8796332,2374,4160,125
2021-09-01,9,2021,4756121.21,0.9831,406494.34,1.1633,2393,12611004,8531970,2311,4037,195
2021-10-01,10,2021,3906940.81,0.9655,362233.4,1.1506,2403,13182684,8920562,2309,4231,174
2021-11-01,11,2021,4361027.9,0.9864,438461.24,1.2052,2333,14132989,9476960,2273,4138,212
2021-12-01,12,2021,3999663.39,0.9834,429104.58,1.1727,1828,13019170,8694699,1789,3287,130
2022-01-01,1,2022,5465642.6,0.993,593640.94,1.1614,2799,13704761,9107139,2703,4915,151
2022-02-01,2,2022,5005985.72,0.9894,476289.33,1.2286,2543,12218371,8109068,2494,4498,185
2022-03-01,3,2022,5818057.19,0.9823,576866.85,1.2972,2341,12771728,8424826,2254,4453,240
