month_start,month,year,search,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won,country,prompted_awareness,biz_traffic_consumer
2020-03-01T00:00:00Z,3,2020,0.4,3122382.33,0.9881,245420.8,1.1222,1859,9434731,6754791,1680,2817,111,UK,0.578,29818
2020-03-01T00:00:00Z,3,2020,0.4,159738.69,0.9691,11573.43,1.2116,271,1927761,1493163,227,392,11,IT,0.299,5351
2020-04-01T00:00:00Z,4,2020,0.46,2808922.76,0.9199,175417.63,0.9594,2661,11306479,7874095,2312,3307,186,UK,0.602,27003
2020-04-01T00:00:00Z,4,2020,0.46,104740.25,0.9043,3435.93,1.0068,398,2928479,2166094,328,589,33,IT,0.301,6167
2020-05-01T00:00:00Z,5,2020,0.59,2556796.99,0.9302,142826.27,1.0126,3146,13117257,8965821,2851,4031,195,UK,0.604,30336
2020-05-01T00:00:00Z,5,2020,0.59,145602.99,1,17431.89,1.2215,379,3110450,2292809,335,563,37,IT,0.3183333333333333,6170
2020-06-01T00:00:00Z,6,2020,0.69,257331.28,0.9908,56083.47,1.4582,303,2656081,2001812,288,469,31,IT,0.33566666666666667,6436
2020-07-01T00:00:00Z,7,2020,0.64,3191189.79,0.9629,217996.84,1.1798,2986,12318087,8276225,2920,4295,131,UK,0.608,29531
2020-07-01T00:00:00Z,7,2020,0.64,192114.5,1,15522.1,1.7157,307,2311715,1717000,288,452,21,IT,0.353,4396
2020-08-01T00:00:00Z,8,2020,0.62,3357672.75,0.9777,333937.07,1.2251,2786,10836314,7188869,2745,3855,116,UK,0.5986666666666667,35647
2020-08-01T00:00:00Z,8,2020,0.62,142735.95,0.9929,14428.29,1.105,237,1898377,1430663,218,327,19,IT,0.3453333333333333,4719
2020-09-01T00:00:00Z,9,2020,0.59,3756237.59,0.9796,399537.05,1.2334,2954,10699998,7125094,2849,4106,169,UK,0.5893333333333333,29223
2020-09-01T00:00:00Z,9,2020,0.59,120229.74,1,6359.64,1.2439,279,2093288,1590137,267,467,27,IT,0.33766666666666667,4592
2020-10-01T00:00:00Z,10,2020,0.58,2756469.71,0.9827,427153.13,1.26,3189,11754062,7767458,3127,4491,155,UK,0.58,30089
2020-10-01T00:00:00Z,10,2020,0.58,164848.32,0.9847,4599.3,1.062,413,2334030,1760044,389,609,24,IT,0.33,5065
2020-11-01T00:00:00Z,11,2020,0.67,3135351.03,0.9506,364456.79,1.1457,3240,13085292,8782015,3218,4663,189,UK,0.6026666666666667,39991
2020-11-01T00:00:00Z,11,2020,0.67,161175.02,0.9685,12626.62,1.0931,434,3078051,2287677,434,728,33,IT,0.335,7258
2020-12-01T00:00:00Z,12,2020,0.64,3144584.62,0.9745,295273.36,1.2077,2546,12040999,8056189,2528,3809,124,UK,0.6253333333333333,23545
2020-12-01T00:00:00Z,12,2020,0.64,134895.8,0.9924,7261.87,1.2907,434,3273648,2362517,428,709,34,IT,0.33999999999999997,5444
2021-01-01T00:00:00Z,1,2021,0.74,4299685.37,0.9796,597731.19,1.2307,3441,13311379,8851886,3374,5587,145,UK,0.648,33138
2021-01-01T00:00:00Z,1,2021,0.74,232212.04,0.9907,15875.22,1.1187,494,3252896,2383971,448,929,39,IT,0.345,6191
2021-02-01T00:00:00Z,2,2021,0.73,3481248.21,0.9627,465110.99,1.2165,3088,12625220,8349578,2999,5430,185,UK,0.642,34890
2021-02-01T00:00:00Z,2,2021,0.73,259070.92,0.9454,12657.13,1.12,441,2621565,1938229,415,884,50,IT,0.3426666666666667,6140
2021-03-01T00:00:00Z,3,2021,0.86,4208361.19,0.9891,639283.3,1.304,3400,13707124,8975955,3300,5487,200,UK,0.636,41046
2021-03-01T00:00:00Z,3,2021,0.86,298441.27,0.9819,24003.34,1.2725,491,3040038,2230716,466,986,60,IT,0.3403333333333333,7502
2021-04-01T00:00:00Z,4,2021,0.77,3772136.44,0.9892,454384.34,1.2012,3091,12917230,8469720,3028,4784,149,UK,0.63,31441
2021-04-01T00:00:00Z,4,2021,0.77,192807.67,0.9955,11633.19,1.2094,476,3080461,2228897,458,907,45,IT,0.338,6017
